block,leaf,field,n_experiments,min_dscore,max_dscore,mean_abs_dscore,max_abs_dscore,status,manual_override,crosscheck_tested,crosscheck_peak_abs_dscore,crosscheck_verdict
Receptors_MAPK_4,Epib2ARp1+barr2,Kd,45,-0.061234,5e-05,0.00138,0.061234,sloppy,,PKA/AC,8.4e-05,still_dead
Receptors_MAPK_3,ePP2A+b2ARp1barr2crafp,Km,45,-0.061235,0.000101,0.001382,0.061235,sloppy,,,,
Receptors_MAPK_3,eGRK5+Epi_b2AR,kcat,45,-0.061235,6.6e-05,0.001382,0.061235,sloppy,,PKA/AC,5.3e-05,still_dead
Receptors_MAPK_3,eGRK2+Iso_b2AR,kcat,45,-0.061235,0.000107,0.001378,0.061235,sloppy,,PKA/AC,6e-06,still_dead
Receptors_MAPK_4,Intb2ARp1_deph,Km,45,-0.061235,6.2e-05,0.001379,0.061235,sloppy,,PKA/AC,7.2e-05,still_dead
Receptors_MAPK_5,Epib2ARp1_deph,kcat,45,-0.061235,4.3e-05,0.001376,0.061235,sloppy,,PKA/AC,0.000189,marginal_elsewhere
Receptors_MAPK_3,b2ARp2barr2p_deph,Km,45,-0.061236,0.000132,0.00138,0.061236,sloppy,,PKA/AC,0.000187,marginal_elsewhere
Receptors_MAPK_3,eIntb2ARp1barr2craf+MEK,kcat,45,-0.061236,0.000109,0.001383,0.061236,sloppy,,,,
Receptors_MAPK_4,eGRK2+Epi_b2AR,Km,45,-0.061236,3.2e-05,0.001377,0.061236,sloppy,,PKA/AC,9.1e-05,still_dead
Receptors_MAPK_4,Isob2ARp2_barr2_internalize,Kf,45,-0.061236,6.8e-05,0.001378,0.061236,sloppy,,PKA/AC,6e-06,still_dead
Receptors_MAPK_4,Isob2ARp2+barr2,Kd,45,-0.061236,4.5e-05,0.001375,0.061236,sloppy,,PKA/AC,6e-06,still_dead
Receptors_MAPK_5,Isob2ARp2+barr2,tau,45,-0.061236,4.8e-05,0.001377,0.061236,sloppy,,PKA/AC,6e-06,still_dead
Receptors_MAPK_2,eAKT+Raf,Km,45,-0.061237,0.009174,0.002572,0.061237,sloppy,,,,
Receptors_MAPK_4,Epib2ARp2+barr2,tau,45,-0.061237,7.2e-05,0.001376,0.061237,sloppy,,PKA/AC,8.1e-05,still_dead
Receptors_MAPK_4,Isob2ARp1+barr2,Kd,45,-0.061237,4.9e-05,0.001382,0.061237,sloppy,,PKA/AC,4e-06,still_dead
Receptors_MAPK_4,ePKC+b2ARp1barr2_craf,Km,45,-0.061237,9.2e-05,0.001378,0.061237,sloppy,,,,
Receptors_MAPK_5,eIntb2ARp1barr2craf+MEKp,kcat,45,-0.061237,6.8e-05,0.001382,0.061237,sloppy,,,,
Receptors_MAPK_5,eIntb2ARp1barr2craf+MEKp,Km,45,-0.061237,0.000128,0.00138,0.061237,sloppy,,,,
Receptors_MAPK_4,eGRK5+Epi_b2AR,Km,45,-0.061238,8.6e-05,0.001378,0.061238,sloppy,,PKA/AC,0.000135,marginal_elsewhere
Receptors_MAPK_4,Epib2ARp1_barr2_internalize,Kf,45,-0.061238,3.3e-05,0.001377,0.061238,sloppy,,PKA/AC,6e-06,still_dead
Receptors_MAPK_4,Isob2ARp2_deph,kcat,45,-0.061238,9.5e-05,0.001375,0.061238,sloppy,,PKA/AC,1e-05,still_dead
Receptors_MAPK_3,ePP2A+b2ARp1barr2crafp,kcat,45,-0.061239,9.2e-05,0.001383,0.061239,sloppy,,,,
Receptors_MAPK_3,Intb2ARp1_deph,kcat,45,-0.061239,7.2e-05,0.001381,0.061239,sloppy,,PKA/AC,1.4e-05,still_dead
Receptors_MAPK_4,b2ARp1_barr2+Raf,Kd,45,-0.061239,3.3e-05,0.001377,0.061239,sloppy,,,,
